,title,url,cleanup_message,categories
10,Atínale al precio,https://en.wikipedia.org/wiki/At%C3%ADnale_al_precio,This section has multiple issues. Please help improve it or discuss these issues on the talk page . ( Learn how and when to remove these messages ) This section does not cite any sources . Please help improve this section by adding citations to reliable sources . Unsourced material may be challenged and removed . ( June 2020 ) ( Learn how and when to remove this message ) This section needs expansion . You can help by adding to it . ( December 2010 ) ( Learn how and when to remove this message ),"['Las Estrellas original programming', 'The Price Is Right', 'Mexican game shows', 'Television series by Fremantle (company)', 'Mexican television series based on American television series']"
11,Atínale al precio,https://en.wikipedia.org/wiki/At%C3%ADnale_al_precio,This section does not cite any sources . Please help improve this section by adding citations to reliable sources . Unsourced material may be challenged and removed . ( June 2020 ) ( Learn how and when to remove this message ),"['Las Estrellas original programming', 'The Price Is Right', 'Mexican game shows', 'Television series by Fremantle (company)', 'Mexican television series based on American television series']"
12,Atínale al precio,https://en.wikipedia.org/wiki/At%C3%ADnale_al_precio,This section needs expansion . You can help by adding to it . ( December 2010 ),"['Las Estrellas original programming', 'The Price Is Right', 'Mexican game shows', 'Television series by Fremantle (company)', 'Mexican television series based on American television series']"
13,Atínale al precio,https://en.wikipedia.org/wiki/At%C3%ADnale_al_precio,This section has multiple issues. Please help improve it or discuss these issues on the talk page . ( Learn how and when to remove these messages ) This section does not cite any sources . Please help improve this section by adding citations to reliable sources . Unsourced material may be challenged and removed . ( June 2020 ) ( Learn how and when to remove this message ) This section needs expansion . You can help by adding to it . ( December 2010 ) ( Learn how and when to remove this message ),"['Las Estrellas original programming', 'The Price Is Right', 'Mexican game shows', 'Television series by Fremantle (company)', 'Mexican television series based on American television series']"
14,Atínale al precio,https://en.wikipedia.org/wiki/At%C3%ADnale_al_precio,This section does not cite any sources . Please help improve this section by adding citations to reliable sources . Unsourced material may be challenged and removed . ( June 2020 ) ( Learn how and when to remove this message ),"['Las Estrellas original programming', 'The Price Is Right', 'Mexican game shows', 'Television series by Fremantle (company)', 'Mexican television series based on American television series']"
15,Atínale al precio,https://en.wikipedia.org/wiki/At%C3%ADnale_al_precio,This section needs expansion . You can help by adding to it . ( December 2010 ),"['Las Estrellas original programming', 'The Price Is Right', 'Mexican game shows', 'Television series by Fremantle (company)', 'Mexican television series based on American television series']"
16,List of Dominican Republic films,https://en.wikipedia.org/wiki/List_of_Dominican_Republic_films,This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( December 2010 ),"['Lists of films by country of production', 'Cinema of the Dominican Republic', 'Lists of mass media in the Dominican Republic', 'Culture of the Dominican Republic', 'Films shot in the Dominican Republic', 'Films set in the Dominican Republic']"
17,List of Dominican Republic films,https://en.wikipedia.org/wiki/List_of_Dominican_Republic_films,This list is incomplete ; you can help by adding missing items . ( December 2010 ),"['Lists of films by country of production', 'Cinema of the Dominican Republic', 'Lists of mass media in the Dominican Republic', 'Culture of the Dominican Republic', 'Films shot in the Dominican Republic', 'Films set in the Dominican Republic']"
18,List of Dominican Republic films,https://en.wikipedia.org/wiki/List_of_Dominican_Republic_films,This section needs to be updated . Please help update this article to reflect recent events or newly available information. ( November 2015 ),"['Lists of films by country of production', 'Cinema of the Dominican Republic', 'Lists of mass media in the Dominican Republic', 'Culture of the Dominican Republic', 'Films shot in the Dominican Republic', 'Films set in the Dominican Republic']"
19,List of Dominican Republic films,https://en.wikipedia.org/wiki/List_of_Dominican_Republic_films,This film-related list is incomplete ; you can help by adding missing items . ( October 2021 ),"['Lists of films by country of production', 'Cinema of the Dominican Republic', 'Lists of mass media in the Dominican Republic', 'Culture of the Dominican Republic', 'Films shot in the Dominican Republic', 'Films set in the Dominican Republic']"
20,Instructional design,https://en.wikipedia.org/wiki/Instructional_design,This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( December 2010 ),"['Applied psychology', 'Educational technology', 'Learning', 'Pedagogy', 'Communication design', 'Curricula', 'Instructional design']"
21,Instructional design,https://en.wikipedia.org/wiki/Instructional_design,"This article may be confusing or unclear to readers . In particular, are these influential instructional designers, or anyone that influenced instructional design?. Please help clarify the article . There might be a discussion about this on the talk page . ( February 2022 ) ( Learn how and when to remove this message )","['Applied psychology', 'Educational technology', 'Learning', 'Pedagogy', 'Communication design', 'Curricula', 'Instructional design']"
22,California Sun,https://en.wikipedia.org/wiki/California_Sun,"This article has multiple issues. Please help improve it or discuss these issues on the talk page . ( Learn how and when to remove these messages ) This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""California Sun"" – news · newspapers · books · scholar · JSTOR ( February 2012 ) ( Learn how and when to remove this message ) This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( February 2011 ) ( Learn how and when to remove this message )","['1964 singles', '1981 singles', 'The Rivieras songs', 'Dick Dale songs', 'Gyllene Tider songs', 'Ramones songs', 'Tommy James and the Shondells songs', 'Songs about California', 'Football songs and chants', 'Songs written by Henry Glover', '1961 songs', 'Song recordings produced by Tony Bongiovi', 'Song recordings produced by Tommy Ramone', 'The Crickets songs', 'Roulette Records singles']"
23,California Sun,https://en.wikipedia.org/wiki/California_Sun,"This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""California Sun"" – news · newspapers · books · scholar · JSTOR ( February 2012 ) ( Learn how and when to remove this message )","['1964 singles', '1981 singles', 'The Rivieras songs', 'Dick Dale songs', 'Gyllene Tider songs', 'Ramones songs', 'Tommy James and the Shondells songs', 'Songs about California', 'Football songs and chants', 'Songs written by Henry Glover', '1961 songs', 'Song recordings produced by Tony Bongiovi', 'Song recordings produced by Tommy Ramone', 'The Crickets songs', 'Roulette Records singles']"
24,California Sun,https://en.wikipedia.org/wiki/California_Sun,This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( February 2011 ),"['1964 singles', '1981 singles', 'The Rivieras songs', 'Dick Dale songs', 'Gyllene Tider songs', 'Ramones songs', 'Tommy James and the Shondells songs', 'Songs about California', 'Football songs and chants', 'Songs written by Henry Glover', '1961 songs', 'Song recordings produced by Tony Bongiovi', 'Song recordings produced by Tommy Ramone', 'The Crickets songs', 'Roulette Records singles']"
25,List of people educated at Haileybury (Melbourne),https://en.wikipedia.org/wiki/List_of_people_educated_at_Haileybury_(Melbourne),"This article has multiple issues. Please help improve it or discuss these issues on the talk page . ( Learn how and when to remove these messages ) This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""List of people educated at Haileybury"" Melbourne – news · newspapers · books · scholar · JSTOR ( January 2008 ) ( Learn how and when to remove this message ) This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( March 2011 ) ( Learn how and when to remove this message )","['Lists of people educated in Victoria (state) by school affiliation', 'Associated Public Schools of Victoria', 'Melbourne-related lists', 'People educated at Haileybury (Melbourne)', 'Haileybury (Melbourne)']"
26,List of people educated at Haileybury (Melbourne),https://en.wikipedia.org/wiki/List_of_people_educated_at_Haileybury_(Melbourne),"This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""List of people educated at Haileybury"" Melbourne – news · newspapers · books · scholar · JSTOR ( January 2008 ) ( Learn how and when to remove this message )","['Lists of people educated in Victoria (state) by school affiliation', 'Associated Public Schools of Victoria', 'Melbourne-related lists', 'People educated at Haileybury (Melbourne)', 'Haileybury (Melbourne)']"
27,List of people educated at Haileybury (Melbourne),https://en.wikipedia.org/wiki/List_of_people_educated_at_Haileybury_(Melbourne),This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( March 2011 ),"['Lists of people educated in Victoria (state) by school affiliation', 'Associated Public Schools of Victoria', 'Melbourne-related lists', 'People educated at Haileybury (Melbourne)', 'Haileybury (Melbourne)']"
28,List of people educated at Haileybury (Melbourne),https://en.wikipedia.org/wiki/List_of_people_educated_at_Haileybury_(Melbourne),This list is incomplete ; you can help by adding missing items . ( February 2011 ),"['Lists of people educated in Victoria (state) by school affiliation', 'Associated Public Schools of Victoria', 'Melbourne-related lists', 'People educated at Haileybury (Melbourne)', 'Haileybury (Melbourne)']"
29,KMPlayer,https://en.wikipedia.org/wiki/KMPlayer,"This article has multiple issues. Please help improve it or discuss these issues on the talk page . ( Learn how and when to remove these messages ) This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""KMPlayer"" – news · newspapers · books · scholar · JSTOR ( January 2016 ) ( Learn how and when to remove this message ) This article contains promotional content . Please help improve it by removing promotional language and inappropriate external links , and by adding encyclopedic text written from a neutral point of view . ( January 2016 ) ( Learn how and when to remove this message ) ( Learn how and when to remove this message )","['2002 software', 'Software DVD players', 'Windows media players', 'Pascal (programming language) software', 'Android (operating system) software']"
30,KMPlayer,https://en.wikipedia.org/wiki/KMPlayer,"This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""KMPlayer"" – news · newspapers · books · scholar · JSTOR ( January 2016 ) ( Learn how and when to remove this message )","['2002 software', 'Software DVD players', 'Windows media players', 'Pascal (programming language) software', 'Android (operating system) software']"
31,KMPlayer,https://en.wikipedia.org/wiki/KMPlayer,"This article contains promotional content . Please help improve it by removing promotional language and inappropriate external links , and by adding encyclopedic text written from a neutral point of view . ( January 2016 ) ( Learn how and when to remove this message )","['2002 software', 'Software DVD players', 'Windows media players', 'Pascal (programming language) software', 'Android (operating system) software']"
32,KMPlayer,https://en.wikipedia.org/wiki/KMPlayer,This section may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( April 2011 ),"['2002 software', 'Software DVD players', 'Windows media players', 'Pascal (programming language) software', 'Android (operating system) software']"
33,KMPlayer,https://en.wikipedia.org/wiki/KMPlayer,"This section is in list format but may read better as prose . You can help by converting this section , if appropriate. Editing help is available. ( April 2011 )","['2002 software', 'Software DVD players', 'Windows media players', 'Pascal (programming language) software', 'Android (operating system) software']"
34,MSConfig,https://en.wikipedia.org/wiki/MSConfig,This section may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( April 2011 ),"['Windows components', 'Windows administration', 'Configuration management', 'Windows 98']"
35,Bigfoot in popular culture,https://en.wikipedia.org/wiki/Bigfoot_in_popular_culture,"This article has multiple issues. Please help improve it or discuss these issues on the talk page . ( Learn how and when to remove these messages ) This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""Bigfoot in popular culture"" – news · newspapers · books · scholar · JSTOR ( September 2010 ) ( Learn how and when to remove this message ) This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( May 2011 ) ( Learn how and when to remove this message )","['Bigfoot in popular culture', 'Bigfoot', 'Legendary creatures in popular culture', 'United States in popular culture']"
36,Bigfoot in popular culture,https://en.wikipedia.org/wiki/Bigfoot_in_popular_culture,"This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""Bigfoot in popular culture"" – news · newspapers · books · scholar · JSTOR ( September 2010 ) ( Learn how and when to remove this message )","['Bigfoot in popular culture', 'Bigfoot', 'Legendary creatures in popular culture', 'United States in popular culture']"
37,Bigfoot in popular culture,https://en.wikipedia.org/wiki/Bigfoot_in_popular_culture,This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( May 2011 ),"['Bigfoot in popular culture', 'Bigfoot', 'Legendary creatures in popular culture', 'United States in popular culture']"
38,Bigfoot in popular culture,https://en.wikipedia.org/wiki/Bigfoot_in_popular_culture,"This section includes a list of general references , but it lacks sufficient corresponding inline citations . Please help to improve this section by introducing more precise citations. ( July 2021 ) ( Learn how and when to remove this message )","['Bigfoot in popular culture', 'Bigfoot', 'Legendary creatures in popular culture', 'United States in popular culture']"
39,The Clapping Song,https://en.wikipedia.org/wiki/The_Clapping_Song,"This article has multiple issues. Please help improve it or discuss these issues on the talk page . ( Learn how and when to remove these messages ) This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""The Clapping Song"" – news · newspapers · books · scholar · JSTOR ( May 2011 ) ( Learn how and when to remove this message ) This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( May 2011 ) ( Learn how and when to remove this message )","['1965 songs', '1965 singles', '1982 singles', '1983 singles', 'The Belle Stars songs', 'Pia Zadora songs', 'Songs written by Lincoln Chase', 'Gary Glitter songs', 'Ian Cussick songs', 'Novelty songs']"
40,The Clapping Song,https://en.wikipedia.org/wiki/The_Clapping_Song,"This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""The Clapping Song"" – news · newspapers · books · scholar · JSTOR ( May 2011 ) ( Learn how and when to remove this message )","['1965 songs', '1965 singles', '1982 singles', '1983 singles', 'The Belle Stars songs', 'Pia Zadora songs', 'Songs written by Lincoln Chase', 'Gary Glitter songs', 'Ian Cussick songs', 'Novelty songs']"
41,The Clapping Song,https://en.wikipedia.org/wiki/The_Clapping_Song,This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( May 2011 ),"['1965 songs', '1965 singles', '1982 singles', '1983 singles', 'The Belle Stars songs', 'Pia Zadora songs', 'Songs written by Lincoln Chase', 'Gary Glitter songs', 'Ian Cussick songs', 'Novelty songs']"
42,Panchavadyam,https://en.wikipedia.org/wiki/Panchavadyam,"This article has multiple issues. Please help improve it or discuss these issues on the talk page . ( Learn how and when to remove these messages ) This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""Panchavadyam"" – news · newspapers · books · scholar · JSTOR ( August 2010 ) ( Learn how and when to remove this message ) This article relies excessively on references to primary sources . Please improve this article by adding secondary or tertiary sources . Find sources: ""Panchavadyam"" – news · newspapers · books · scholar · JSTOR ( August 2010 ) ( Learn how and when to remove this message ) This article possibly contains original research . Please improve it by verifying the claims made and adding inline citations . Statements consisting only of original research should be removed. ( August 2010 ) ( Learn how and when to remove this message ) This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( May 2011 ) ( Learn how and when to remove this message )","['Kerala music', 'Types of percussion ensembles', 'Hindu music', 'Indian musical groups']"
43,Panchavadyam,https://en.wikipedia.org/wiki/Panchavadyam,"This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""Panchavadyam"" – news · newspapers · books · scholar · JSTOR ( August 2010 ) ( Learn how and when to remove this message )","['Kerala music', 'Types of percussion ensembles', 'Hindu music', 'Indian musical groups']"
44,Panchavadyam,https://en.wikipedia.org/wiki/Panchavadyam,"This article relies excessively on references to primary sources . Please improve this article by adding secondary or tertiary sources . Find sources: ""Panchavadyam"" – news · newspapers · books · scholar · JSTOR ( August 2010 ) ( Learn how and when to remove this message )","['Kerala music', 'Types of percussion ensembles', 'Hindu music', 'Indian musical groups']"
45,Panchavadyam,https://en.wikipedia.org/wiki/Panchavadyam,This article possibly contains original research . Please improve it by verifying the claims made and adding inline citations . Statements consisting only of original research should be removed. ( August 2010 ) ( Learn how and when to remove this message ),"['Kerala music', 'Types of percussion ensembles', 'Hindu music', 'Indian musical groups']"
46,Panchavadyam,https://en.wikipedia.org/wiki/Panchavadyam,This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( May 2011 ),"['Kerala music', 'Types of percussion ensembles', 'Hindu music', 'Indian musical groups']"
47,Nedumkandam,https://en.wikipedia.org/wiki/Nedumkandam,"This article has multiple issues. Please help improve it or discuss these issues on the talk page . ( Learn how and when to remove these messages ) This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""Nedumkandam"" – news · newspapers · books · scholar · JSTOR ( September 2014 ) ( Learn how and when to remove this message ) This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( July 2011 ) ( Learn how and when to remove this message )",['Cities and towns in Idukki district']
48,Nedumkandam,https://en.wikipedia.org/wiki/Nedumkandam,"This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""Nedumkandam"" – news · newspapers · books · scholar · JSTOR ( September 2014 ) ( Learn how and when to remove this message )",['Cities and towns in Idukki district']
49,Nedumkandam,https://en.wikipedia.org/wiki/Nedumkandam,This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( July 2011 ),['Cities and towns in Idukki district']
50,Nedumkandam,https://en.wikipedia.org/wiki/Nedumkandam,This section does not cite any sources . Please help improve this section by adding citations to reliable sources . Unsourced material may be challenged and removed . ( October 2024 ) ( Learn how and when to remove this message ),['Cities and towns in Idukki district']
51,Nedumkandam,https://en.wikipedia.org/wiki/Nedumkandam,This section does not cite any sources . Please help improve this section by adding citations to reliable sources . Unsourced material may be challenged and removed . ( October 2024 ) ( Learn how and when to remove this message ),['Cities and towns in Idukki district']
52,Fracas! Improv Festival,https://en.wikipedia.org/wiki/Fracas!_Improv_Festival,"This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""Fracas! Improv Festival"" – news · newspapers · books · scholar · JSTOR ( February 2021 ) ( Learn how and when to remove this message )","['Festivals in Los Angeles', 'Comedy festivals in the United States', 'Recurring events established in 2004', 'Improvisational theatre', 'University of Southern California', 'Arts festivals in California']"
53,Fracas! Improv Festival,https://en.wikipedia.org/wiki/Fracas!_Improv_Festival,This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( August 2011 ),"['Festivals in Los Angeles', 'Comedy festivals in the United States', 'Recurring events established in 2004', 'Improvisational theatre', 'University of Southern California', 'Arts festivals in California']"
54,American Association for Respiratory Care,https://en.wikipedia.org/wiki/American_Association_for_Respiratory_Care,"This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""American Association for Respiratory Care"" – news · newspapers · books · scholar · JSTOR ( August 2011 ) ( Learn how and when to remove this message )","['Medical associations based in the United States', 'Pulmonology and respiratory therapy organizations', 'Companies based in Irving, Texas', 'Non-profit organizations based in Texas', 'Health industry trade groups based in the United States']"
55,American Association for Respiratory Care,https://en.wikipedia.org/wiki/American_Association_for_Respiratory_Care,This section may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( September 2011 ),"['Medical associations based in the United States', 'Pulmonology and respiratory therapy organizations', 'Companies based in Irving, Texas', 'Non-profit organizations based in Texas', 'Health industry trade groups based in the United States']"
56,Caribana Festival (Switzerland),https://en.wikipedia.org/wiki/Caribana_Festival_(Switzerland),"This article has multiple issues. Please help improve it or discuss these issues on the talk page . ( Learn how and when to remove these messages ) This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( December 2011 ) This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""Caribana Festival"" Switzerland – news · newspapers · books · scholar · JSTOR ( May 2018 ) ( Learn how and when to remove this message ) ( Learn how and when to remove this message )","['Tourist attractions in the canton of Vaud', 'Music festivals in Switzerland', 'Recurring events established in 1990']"
57,Caribana Festival (Switzerland),https://en.wikipedia.org/wiki/Caribana_Festival_(Switzerland),This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( December 2011 ),"['Tourist attractions in the canton of Vaud', 'Music festivals in Switzerland', 'Recurring events established in 1990']"
58,Caribana Festival (Switzerland),https://en.wikipedia.org/wiki/Caribana_Festival_(Switzerland),"This article needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed. Find sources: ""Caribana Festival"" Switzerland – news · newspapers · books · scholar · JSTOR ( May 2018 ) ( Learn how and when to remove this message )","['Tourist attractions in the canton of Vaud', 'Music festivals in Switzerland', 'Recurring events established in 1990']"
59,Kora (instrument),https://en.wikipedia.org/wiki/Kora_(instrument),This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( December 2011 ),"['Harp lutes', 'Harps', 'String instruments', 'West African musical instruments']"
60,Kora (instrument),https://en.wikipedia.org/wiki/Kora_(instrument),"This section relies excessively on references to primary sources . Please improve this section by adding secondary or tertiary sources . Find sources: ""Kora"" musicians – news · newspapers · books · scholar · JSTOR ( January 2011 ) ( Learn how and when to remove this message )","['Harp lutes', 'Harps', 'String instruments', 'West African musical instruments']"
61,Kora (instrument),https://en.wikipedia.org/wiki/Kora_(instrument),"This section's use of external links may not follow Wikipedia's policies or guidelines . Please improve this article by removing excessive or inappropriate external links, and converting useful links where appropriate into footnote references . ( November 2018 ) ( Learn how and when to remove this message )","['Harp lutes', 'Harps', 'String instruments', 'West African musical instruments']"
62,Turbo Dispatch,https://en.wikipedia.org/wiki/Turbo_Dispatch,"This article has multiple issues. Please help improve it or discuss these issues on the talk page . ( Learn how and when to remove these messages ) This article relies excessively on references to primary sources . Please improve this article by adding secondary or tertiary sources . Find sources: ""Turbo Dispatch"" – news · newspapers · books · scholar · JSTOR ( July 2010 ) ( Learn how and when to remove this message ) This article includes a list of references , related reading , or external links , but its sources remain unclear because it lacks inline citations . Please help improve this article by introducing more precise citations. ( January 2012 ) ( Learn how and when to remove this message ) This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( January 2012 ) ( Learn how and when to remove this message )","['Telecommunications-related introductions in 1994', 'Packet radio', 'Road transport in the United Kingdom', 'Standards of the United Kingdom', 'Emergency road services']"
63,Turbo Dispatch,https://en.wikipedia.org/wiki/Turbo_Dispatch,"This article relies excessively on references to primary sources . Please improve this article by adding secondary or tertiary sources . Find sources: ""Turbo Dispatch"" – news · newspapers · books · scholar · JSTOR ( July 2010 ) ( Learn how and when to remove this message )","['Telecommunications-related introductions in 1994', 'Packet radio', 'Road transport in the United Kingdom', 'Standards of the United Kingdom', 'Emergency road services']"
64,Turbo Dispatch,https://en.wikipedia.org/wiki/Turbo_Dispatch,"This article includes a list of references , related reading , or external links , but its sources remain unclear because it lacks inline citations . Please help improve this article by introducing more precise citations. ( January 2012 ) ( Learn how and when to remove this message )","['Telecommunications-related introductions in 1994', 'Packet radio', 'Road transport in the United Kingdom', 'Standards of the United Kingdom', 'Emergency road services']"
65,Turbo Dispatch,https://en.wikipedia.org/wiki/Turbo_Dispatch,This article may contain unverified or indiscriminate information in embedded lists . Please help clean up the lists by removing items or incorporating them into the text of the article. ( January 2012 ),"['Telecommunications-related introductions in 1994', 'Packet radio', 'Road transport in the United Kingdom', 'Standards of the United Kingdom', 'Emergency road services']"
